sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_5.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,10,imbs_glcs,h1,4,0.0719,True
sigma-2,mglcs_10_100_2_5.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,20,imbs_glcs,h1,4,0.0721,True
sigma-2,mglcs_10_100_2_5.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,50,imbs_glcs,h1,4,0.0716,True
sigma-2,mglcs_10_100_2_5.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,100,imbs_glcs,h1,4,0.0712,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,h1,4,0.0724,True
sigma-2,mglcs_10_100_2_5.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,500,imbs_glcs,h1,4,0.0704,True
sigma-2,mglcs_10_100_2_5.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,5,imbs_glcs,h2,4,0.0712,True
sigma-2,mglcs_10_100_2_5.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,10,imbs_glcs,h2,4,0.0718,True
sigma-2,mglcs_10_100_2_5.txt,20,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,20,imbs_glcs,h2,4,0.0729,True
sigma-2,mglcs_10_100_2_5.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,50,imbs_glcs,h2,4,0.0709,True
sigma-2,mglcs_10_100_2_5.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,100,imbs_glcs,h2,4,0.0720,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,h2,4,0.0724,True
sigma-2,mglcs_10_100_2_5.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,500,imbs_glcs,h2,4,0.0725,True
sigma-2,mglcs_10_100_2_5.txt,5,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,5,imbs_glcs,h5,4,0.0756,True
sigma-2,mglcs_10_100_2_5.txt,10,beam_search_glcs,h5,1,0.0000,True
