sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_2_100_2_7.txt,1,beam_search_glcs,h1,13,0.0010,True
sigma-2,mglcs_2_100_2_7.txt,1,imbs_glcs,h1,36,0.0033,True
sigma-2,mglcs_2_100_2_7.txt,1,beam_search_glcs,h2,14,0.0000,True
sigma-2,mglcs_2_100_2_7.txt,1,imbs_glcs,h2,32,0.0030,True
sigma-2,mglcs_2_100_2_7.txt,1,beam_search_glcs,h5,13,0.0000,True
sigma-2,mglcs_2_100_2_7.txt,1,imbs_glcs,h5,29,0.0061,True
sigma-2,mglcs_2_100_2_7.txt,1,beam_search_glcs,h8,13,0.0020,True
sigma-2,mglcs_2_100_2_7.txt,1,imbs_glcs,h8,54,0.0050,True
sigma-2,mglcs_2_100_2_8.txt,1,beam_search_glcs,h1,22,0.0000,True
sigma-2,mglcs_2_100_2_8.txt,1,imbs_glcs,h1,37,0.0023,True
sigma-2,mglcs_2_100_2_8.txt,1,beam_search_glcs,h2,10,0.0000,True
sigma-2,mglcs_2_100_2_8.txt,1,imbs_glcs,h2,38,0.0021,True
sigma-2,mglcs_2_100_2_8.txt,1,beam_search_glcs,h5,22,0.0015,True
sigma-2,mglcs_2_100_2_8.txt,1,imbs_glcs,h5,35,0.0030,True
sigma-2,mglcs_2_100_2_8.txt,1,beam_search_glcs,h8,10,0.0020,True
