sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h2,8,0.1287,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h2,5,0.0139,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h2,5,0.0299,True
sigma-2,mglcs_10_100_2_3.txt,10000,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h5,5,0.0048,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h5,1,0.0021,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h5,6,0.0391,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h5,8,0.1295,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h5,8,0.1341,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h5,8,0.1422,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h5,5,0.0173,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h5,5,0.0164,True
sigma-2,mglcs_10_100_2_3.txt,10000,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h8,5,0.0076,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h8,1,0.0023,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h8,6,0.0318,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h8,8,0.1247,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h8,1,0.0157,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h8,8,0.1430,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h8,8,0.1409,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h8,5,0.0181,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h8,5,0.0180,True
sigma-2,mglcs_10_100_2_3.txt,10000,beam_search_glcs,h8,1,0.0034,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h1,4,0.0053,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h1,6,0.0400,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h1,6,0.1485,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h1,6,0.1469,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h1,6,0.1483,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h1,6,0.0165,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h1,6,0.0161,True
sigma-2,mglcs_10_100_2_4.txt,10000,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h2,4,0.0060,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h2,9,0.0418,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h2,6,0.1489,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h2,6,0.1515,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h2,6,0.1498,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h2,6,0.0175,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h2,6,0.0175,True
sigma-2,mglcs_10_100_2_4.txt,10000,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h5,1,0.0014,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h5,4,0.0050,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h5,1,0.0011,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h5,6,0.0413,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h5,6,0.1558,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h5,6,0.1521,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h5,6,0.1545,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h5,6,0.0164,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h5,6,0.0175,True
sigma-2,mglcs_10_100_2_4.txt,10000,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,h8,1,0.0014,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,h8,5,0.0078,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h8,1,0.0022,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h8,6,0.0315,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h8,1,0.0031,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h8,6,0.1537,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h8,6,0.1450,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h8,6,0.1593,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h8,6,0.0290,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h8,1,0.0023,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h8,6,0.0186,True
sigma-2,mglcs_10_100_2_4.txt,10000,beam_search_glcs,h8,1,0.0024,True
sigma-2,mglcs_10_100_2_5.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,1,imbs_glcs,h1,5,0.0051,True
sigma-2,mglcs_10_100_2_5.txt,5,beam_search_glcs,h1,1,0.0007,True
sigma-2,mglcs_10_100_2_5.txt,5,imbs_glcs,h1,7,0.0498,True
sigma-2,mglcs_10_100_2_5.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,10,imbs_glcs,h1,6,0.1593,True
sigma-2,mglcs_10_100_2_5.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,20,imbs_glcs,h1,6,0.1696,True
sigma-2,mglcs_10_100_2_5.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,50,imbs_glcs,h1,6,0.1606,True
