m,n,sigma,index,heuristic,beam_width,length
10,100,2,6,h5,100,3
10,100,2,6,h8,100,3
10,100,2,7,h2,100,4
10,100,2,7,h5,100,4
10,100,2,7,h8,100,4
10,100,2,8,h2,100,3
10,100,2,8,h5,100,3
10,100,2,8,h8,100,3
10,100,2,9,h2,100,4
10,100,2,9,h5,100,4
10,100,2,9,h8,100,4
10,200,2,0,h2,100,4
10,200,2,0,h5,100,4
10,200,2,0,h8,100,4
10,200,2,1,h2,100,5
10,200,2,1,h5,100,4
10,200,2,1,h8,100,4
10,200,2,2,h2,100,5
10,200,2,2,h5,100,5
10,200,2,2,h8,100,5
10,200,2,3,h2,100,5
10,200,2,3,h5,100,4
10,200,2,3,h8,100,4
10,200,2,4,h2,100,6
10,200,2,4,h5,100,6
10,200,2,4,h8,100,6
10,200,2,5,h2,100,7
10,200,2,5,h5,100,5
10,200,2,5,h8,100,7
10,200,2,6,h2,100,9
10,200,2,6,h5,100,7
10,200,2,6,h8,100,7
10,200,2,7,h2,100,4
10,200,2,7,h5,100,4
10,200,2,7,h8,100,4
10,200,2,8,h2,100,7
10,200,2,8,h5,100,5
10,200,2,8,h8,100,7
10,200,2,9,h2,100,6
10,200,2,9,h5,100,4
10,200,2,9,h8,100,4
10,50,2,0,h2,100,4
10,50,2,0,h5,100,4
10,50,2,0,h8,100,4
10,50,2,1,h2,100,3
10,50,2,1,h5,100,3
10,50,2,1,h8,100,3
10,50,2,2,h2,100,3
10,50,2,2,h5,100,3
10,50,2,2,h8,100,3
10,50,2,3,h2,100,6
10,50,2,3,h5,100,6
10,50,2,3,h8,100,6
10,50,2,4,h2,100,3
10,50,2,4,h5,100,3
10,50,2,4,h8,100,3
10,50,2,5,h2,100,5
10,50,2,5,h5,100,4
10,50,2,5,h8,100,5
10,50,2,6,h2,100,4
10,50,2,6,h5,100,4
10,50,2,6,h8,100,4
10,50,2,7,h2,100,3
10,50,2,7,h5,100,3
10,50,2,7,h8,100,3
10,50,2,8,h2,100,3
10,50,2,8,h5,100,3
10,50,2,8,h8,100,3
10,50,2,9,h2,100,5
10,50,2,9,h5,100,5
10,50,2,9,h8,100,5
2,100,2,0,h2,100,71
2,100,2,0,h5,100,71
2,100,2,0,h8,100,66
2,100,2,1,h2,100,19
2,100,2,1,h5,100,33
2,100,2,1,h8,100,19
2,100,2,2,h2,100,70
2,100,2,2,h5,100,70
2,100,2,2,h8,100,66
2,100,2,3,h2,100,43
2,100,2,3,h5,100,78
2,100,2,3,h8,100,71
2,100,2,4,h2,100,52
2,100,2,4,h5,100,52
2,100,2,4,h8,100,45
2,100,2,5,h2,100,62
2,100,2,5,h5,100,62
2,100,2,5,h8,100,60
2,100,2,6,h2,100,71
2,100,2,6,h5,100,74
2,100,2,6,h8,100,68
2,100,2,7,h2,100,51
2,100,2,7,h5,100,51
2,100,2,7,h8,100,51
2,100,2,8,h2,100,72
2,100,2,8,h5,100,72
2,100,2,8,h8,100,71
2,100,2,9,h2,100,62
2,100,2,9,h5,100,62
2,100,2,9,h8,100,62
2,200,2,0,h2,100,86
2,200,2,0,h5,100,93
2,200,2,0,h8,100,82
2,200,2,1,h2,100,110
2,200,2,1,h5,100,113
2,200,2,1,h8,100,110
2,200,2,2,h2,100,96
2,200,2,2,h5,100,96
2,200,2,2,h8,100,47
2,200,2,3,h2,100,55
2,200,2,3,h5,100,90
2,200,2,3,h8,100,46
2,200,2,4,h2,100,158
2,200,2,4,h5,100,159
2,200,2,4,h8,100,152
2,200,2,5,h2,100,99
2,200,2,5,h5,100,102
2,200,2,5,h8,100,134
2,200,2,6,h2,100,104
2,200,2,6,h5,100,143
2,200,2,6,h8,100,99
2,200,2,7,h2,100,75
2,200,2,7,h5,100,155
2,200,2,7,h8,100,138
2,200,2,8,h2,100,76
2,200,2,8,h5,100,138
2,200,2,8,h8,100,132
2,200,2,9,h2,100,86
2,200,2,9,h5,100,88
2,200,2,9,h8,100,101
2,50,2,0,h2,100,24
2,50,2,0,h5,100,24
2,50,2,0,h8,100,24
2,50,2,1,h2,100,34
2,50,2,1,h5,100,34
2,50,2,1,h8,100,29
2,50,2,2,h2,100,36
2,50,2,2,h5,100,36
2,50,2,2,h8,100,36
2,50,2,3,h2,100,38
2,50,2,3,h5,100,38
2,50,2,3,h8,100,38
