sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_2_200_2_6.txt,10,h2,104,0.0161,True
sigma-2,mglcs_2_200_2_6.txt,10,h3,66,0.0134,True
sigma-2,mglcs_2_200_2_6.txt,10,h4,129,0.0145,True
sigma-2,mglcs_2_200_2_6.txt,10,h5,104,0.0195,True
sigma-2,mglcs_2_200_2_6.txt,10,h6,67,0.013,True
sigma-2,mglcs_2_200_2_6.txt,10,h7,104,0.0135,True
sigma-2,mglcs_2_200_2_6.txt,10,h8,76,0.022,True
sigma-2,mglcs_2_200_2_7.txt,10,h1,104,0.0155,True
sigma-2,mglcs_2_200_2_7.txt,10,h2,73,0.017,True
sigma-2,mglcs_2_200_2_7.txt,10,h3,126,0.0155,True
sigma-2,mglcs_2_200_2_7.txt,10,h4,95,0.0155,True
sigma-2,mglcs_2_200_2_7.txt,10,h5,135,0.0322,True
sigma-2,mglcs_2_200_2_7.txt,10,h6,133,0.016,True
sigma-2,mglcs_2_200_2_7.txt,10,h7,73,0.019,True
sigma-2,mglcs_2_200_2_7.txt,10,h8,95,0.0304,True
sigma-2,mglcs_2_200_2_8.txt,10,h1,128,0.0192,True
sigma-2,mglcs_2_200_2_8.txt,10,h2,76,0.017,True
sigma-2,mglcs_2_200_2_8.txt,10,h3,68,0.014,True
sigma-2,mglcs_2_200_2_8.txt,10,h4,128,0.0172,True
sigma-2,mglcs_2_200_2_8.txt,10,h5,138,0.0315,True
sigma-2,mglcs_2_200_2_8.txt,10,h6,137,0.0185,True
